Paper,Experiment,Task,Mean d',SD,SD obtained from:,# of observations to calculate d',TotalTrials,# of subs tested,Base d',Ref  d',Comp d',any >1.86,both d' >1.86,Increase in d',Inferential test used,Reported correction factor?,Journal,Notes
,,"Visual old/new (negative, central, 3)",2.03,.,Figure 2 (b),unclear,.,76,2,1.2,2.03,1,0,0.83,,,,
,,"Visual old/new (negative, central, 4)",2.48,.,Figure 2 (b),unclear,.,76,2,1.2,2.48,1,0,1.28,,,,
,,"Visual old/new (negative, central, 5)",2.51,.,Figure 2 (b),unclear,.,76,2,1.2,2.51,1,0,1.31,,,,
,,"Visual old/new (negative, central, 6)",2.46,.,Figure 2 (b),unclear,.,76,2,1.2,2.46,1,0,1.26,,,,
,,"Visual old/new (negative, central, 7)",2.55,.,Figure 2 (b),unclear,.,76,2,1.2,2.55,1,0,1.35,,,,
,,"Visual old/new (negative, central, 8)",2.71,.,Figure 2 (b),unclear,.,76,2,1.2,2.71,1,0,1.51,,,,
,,"Visual old/new (negative, central, 9)",2.73,.,Figure 2 (b),unclear,.,76,2,1.2,2.73,1,0,1.53,,,,
,,"Visual old/new (negative, peripheral, 1)",1.95,.,Figure 2 (b),unclear,.,76,2,1.2,1.95,1,0,0.75,,,,
,,"Visual old/new (negative, peripheral, 2)",2.32,.,Figure 2 (b),unclear,.,76,2,1.2,2.32,1,0,1.12,,,,
,,"Visual old/new (negative, peripheral, 3)",2.52,.,Figure 2 (b),unclear,.,76,2,1.2,2.52,1,0,1.32,,,,
,,"Visual old/new (negative, peripheral, 4)",2.58,.,Figure 2 (b),unclear,.,76,2,1.2,2.58,1,0,1.38,,,,
,,"Visual old/new (negative, peripheral, 5)",2.93,.,Figure 2 (b),unclear,.,76,2,1.2,2.93,1,0,1.73,,,,
,,"Visual old/new (negative, peripheral, 6)",2.11,.,Figure 2 (b),unclear,.,76,2,1.2,2.11,1,0,0.91,,,,
,,"Visual old/new (negative, peripheral, 7)",2.06,.,Figure 2 (b),unclear,.,76,2,1.2,2.06,1,0,0.86,,,,
,,"Visual old/new (negative, peripheral, 8)",1.82,.,Figure 2 (b),unclear,.,76,2,1.2,1.82,0,0,0.62,,,,
,,"Visual old/new (negative, peripheral, 9)",1.52,.,Figure 2 (b),unclear,.,76,2,1.2,1.52,0,0,0.32,,,,
Bouton et al. (2015),1,Audiovisual same/different (CI identification),1.55,1,Figure 2,unclear,.,25,,,,,,,ANOVA,none reported,"Language, Cognition and Neuroscience",
,,Audiovisual same/different (Controls identification),2.93,0.3,Figure 2,unclear,.,25,3,1.55,2.93,1,0,1.38,,,,
Chandrasekaran et al. (2010),1,"Auditory rising/falling (GL, pre)",4.14,0.88,Figure 3,180,180,8,5,3.05,4.14,0,1,1.09,ANOVA,none reported,Journal of the Acoustical Society of America,
,,"Auditory rising/falling (PL, pre)",3.05,0.88,Figure 3,180,180,8,,,,,,,,,,
,,"Auditory rising/falling (GL, post)",4.45,1.19,Figure 3,180,180,8,5,3.05,4.45,0,1,1.4,,,,
,,"Auditory rising/falling (PL, post)",3.33,1.16,Figure 3,180,180,8,5,3.05,3.33,0,1,0.28,,,,
George et al. (2013),1,"Visual above/below (no pursuit, NVP)",0.003,0.007,Results (p.637),400,400,6,,,,,,,none ,none reported,Perception,
,,"Visual above/below (no pursuit, VP)",0.065,0.159,Results (p.637),400,400,6,1,0.003,0.065,0,0,0.062,,,,
,,"Visual above/below (pursuit, NVP)",3.39,1.48,Results (p.638),400,400,6,1,0.003,3.393,1,0,3.39,,,,
,,"Visual above/below (pursuit, VP)",3.37,1.48,Results (p.638),400,400,6,1,0.003,3.373,1,0,3.37,,,,
Nicol et al. (2013),1,"Visual yes/no (HSF, disgust)",1.84,0.67,Results (p.1482),96 (48 'yes'),96,20,2,1.24,1.84,0,0,0.6,ANOVA,none reported,Cognition & Emotion,
,,"Visual yes/no (HSF, fearful)",1.35,0.58,Results (p.1482),96 (48 'yes'),96,20,2,1.24,1.35,0,0,0.11,,,,
,,"Visual yes/no (HSF, neutral)",1.64,0.63,Results (p.1482),192 (96 'yes'),192,20,2,1.24,1.64,0,0,0.4,,,,
,,"Visual yes/no (LSF, disgust)",1.44,0.45,Results (p.1482),96 (48 'yes'),96,20,2,1.24,1.44,0,0,0.2,,,,
,,"Visual yes/no (LSF, fearful)",1.79,0.4,Results (p.1482),96 (48 'yes'),96,20,2,1.24,1.79,0,0,0.55,,,,
,,"Visual yes/no (LSF, neutral)",1.24,0.49,Results (p.1482),192 (96 'yes'),192,20,,,,,,,,,,
Riecke et al. (2011),1,Auditory continuous/not (loud),1.33,1.29,Figure 3(a),30 (15 'continuous'),30,14,1,0.41,1.33,0,0,0.92,ANOVA,0.5 adjustment for ceiling,Hearing Research,
,,Auditory continuous/not (soft),0.41,0.57,Figure 3(a),30 (15 'continuous'),30,14,,,,,,,,,,
,,Auditory continuous/not (silent),1.09,0.78,Figure 3(a),30 (15 'continuous'),30,14,1,0.41,1.09,0,0,0.68,,,,
,2,"Auditory continuous/not (same, loud)",1.13,0.86,Figure 4(a),32 (16 'continuous'),32,14,1,0.14,1.13,0,0,0.99,t-tests,,,
,,"Auditory continuous/not (same, soft)",0.49,0.65,Figure 4(a),32 (16 'continuous'),32,14,1,0.14,0.49,0,0,0.35,,,,
,,"Auditory continuous/not (opposite, loud)",0.93,1.05,Figure 4(a),32 (16 'continuous'),32,14,1,0.14,0.93,0,0,0.79,,,,
,,"Auditory continuous/not (opposite, soft)",0.14,0.34,Figure 4(a),32 (16 'continuous'),32,14,,,,,,,,,,
